iter	RMSE
0	2.000680176
1	1.996783958
2	1.993340386
3	1.99103022
4	1.98875419
5	1.986427051
6	1.984167198
7	1.982402052
8	1.981466472
9	1.978900279
10	1.977953886
11	1.975800279
12	1.974177195
13	1.973341067
14	1.970712775
15	1.969737201
16	1.968333969
17	1.967713608
18	1.966526596
19	1.964887929
20	1.962855165
21	1.962055376
22	1.960951844
23	1.960168567
24	1.959022173
25	1.957296325
26	1.956428985
27	1.955740509
28	1.954678928
29	1.953693978
30	1.951577148
31	1.950790671
32	1.949966984
33	1.948993877
34	1.94813635
35	1.946848817
36	1.945908429
37	1.944677021
38	1.942964594
39	1.942020896
40	1.939647249
41	1.93810154
42	1.93703059
43	1.935732026
44	1.933643507
45	1.931781442
46	1.930662413
47	1.928141601
48	1.926895934
49	1.925925735
50	1.924875232
51	1.923385421
52	1.92136464
53	1.920969879
54	1.919788481
55	1.919138089
56	1.917986383
57	1.917108728
58	1.916408684
59	1.915123685
60	1.914400245
61	1.91271782
62	1.911592718
63	1.910653634
64	1.909917932
65	1.907741347
66	1.906095671
67	1.904330231
68	1.90321527
69	1.902288799
70	1.900298456
71	1.899039965
72	1.897474002
73	1.896120853
74	1.89470615
75	1.893576064
76	1.89229979
77	1.891025953
78	1.889628051
79	1.888773868
80	1.887726604
81	1.886302721
82	1.885557427
83	1.885098436
84	1.884279975
85	1.883614066
86	1.883115098
87	1.88067195
88	1.879398235
89	1.878549778
90	1.878081365
91	1.876866763
92	1.875815648
93	1.875393803
94	1.874034369
95	1.872823232
96	1.872083968
97	1.871218575
98	1.869785492
99	1.867873037
100	1.867065411
101	1.865449393
102	1.864289425
103	1.862842433
104	1.861449928
105	1.860214976
106	1.85925266
107	1.858571619
108	1.857217529
109	1.855707908
110	1.85393204
111	1.852725534
112	1.851486086
113	1.849566785
114	1.848381133
115	1.846721778
116	1.844977373
117	1.843618881
118	1.843256253
119	1.841676236
120	1.840318573
121	1.838549387
122	1.837563392
123	1.836515031
124	1.834631496
125	1.833200927
126	1.832149438
127	1.831362154
128	1.83005887
129	1.828775584
130	1.828138341
131	1.827636885
132	1.826357819
133	1.825456811
134	1.824042253
135	1.82185934
136	1.820929938
137	1.819386608
138	1.818246693
139	1.817125253
140	1.816126605
141	1.815141267
142	1.814109558
143	1.813002517
144	1.812685523
145	1.811358043
146	1.810488439
147	1.808972763
148	1.807622957
149	1.806464864
150	1.805020358
151	1.80370665
152	1.802060692
153	1.801459815
154	1.800654267
155	1.799177148
156	1.798288604
157	1.797655766
158	1.796683932
159	1.79530901
160	1.793954462
161	1.792708411
162	1.791100826
163	1.790449509
164	1.789232212
165	1.788111207
166	1.786512637
167	1.785453747
168	1.784919155
169	1.783737847
170	1.783560359
171	1.781850718
172	1.78145849
173	1.780254648
174	1.778132229
175	1.776781542
176	1.775933623
177	1.774520897
178	1.773058266
179	1.771614704
180	1.770133649
181	1.769369258
182	1.76783725
183	1.765970215
184	1.765442413
185	1.764313299
186	1.763601638
187	1.762508031
188	1.76053758
189	1.759446267
190	1.759014209
191	1.758213228
192	1.756972387
193	1.756205091
194	1.75571345
195	1.754324107
196	1.753092711
197	1.752710816
198	1.751277673
199	1.750665715
200	1.749883463
201	1.74837646
202	1.746910347
203	1.746321314
204	1.745930573
205	1.744160954
206	1.742913869
207	1.741342356
208	1.740282118
209	1.739660485
210	1.739069009
211	1.737870772
212	1.736840953
213	1.735710253
214	1.734371682
215	1.733385222
216	1.732014898
217	1.730430189
218	1.729590872
219	1.728807883
220	1.727376311
221	1.726504544
222	1.725393498
223	1.724829518
224	1.723669746
225	1.723386294
226	1.722653566
227	1.721671383
228	1.720971559
229	1.720658356
230	1.719812643
231	1.719150393
232	1.718360329
233	1.717432149
234	1.716442288
235	1.715861764
236	1.715114772
237	1.713765198
238	1.712817864
239	1.710891051
240	1.709962797
241	1.70863738
242	1.707693752
243	1.706285408
244	1.704970716
245	1.703117835
246	1.702621454
247	1.701672989
248	1.701510988
249	1.700294738
250	1.698925518
251	1.698298652
252	1.697456159
253	1.697175626
254	1.696033701
255	1.69444952
256	1.693250742
257	1.692511689
258	1.691508189
259	1.690667937
260	1.689969393
261	1.688644118
262	1.687721145
263	1.686400159
264	1.685018659
265	1.683555886
266	1.68214541
267	1.68142918
268	1.679889629
269	1.678598853
270	1.678044177
271	1.676820777
272	1.675852425
273	1.674626532
274	1.67402356
275	1.673351714
276	1.672993845
277	1.671555991
278	1.670738755
279	1.669639666
280	1.668293351
281	1.667261609
282	1.666170916
283	1.665578605
284	1.664630733
285	1.664359872
286	1.663518217
287	1.662146605
288	1.660480821
289	1.659535704
290	1.65847084
291	1.657515168
292	1.656986446
293	1.655730513
294	1.654975896
295	1.653774992
296	1.653511237
297	1.652300433
298	1.651363125
299	1.650570861
300	1.650428087
301	1.649384142
302	1.648741198
303	1.648131657
304	1.64718154
305	1.646812741
306	1.64572053
307	1.645035153
308	1.643678927
309	1.642430164
310	1.641070298
311	1.640182405
312	1.639239533
313	1.638055405
314	1.637398916
315	1.637236915
316	1.636626327
317	1.636120831
318	1.635692351
319	1.634703901
320	1.633520687
321	1.632772052
322	1.632633719
323	1.631821367
324	1.630751597
325	1.629718164
326	1.629106849
