iter	Passed	Remaining
0	8	17782
1	17	17921
2	27	18244
3	35	17935
4	44	17917
5	53	17811
6	61	17442
7	69	17240
8	76	16991
9	84	16842
10	91	16481
11	96	16059
12	101	15588
13	106	15117
14	110	14663
15	114	14254
16	118	13833
17	121	13406
18	124	13029
19	128	12704
20	131	12394
21	134	12105
22	137	11840
23	140	11604
24	144	11425
25	148	11253
26	151	11083
27	155	10941
28	159	10809
29	162	10682
30	166	10552
31	169	10439
32	173	10326
33	176	10218
34	180	10129
35	184	10039
36	187	9951
37	191	9870
38	194	9793
39	198	9714
40	201	9641
41	205	9574
42	208	9499
43	212	9437
44	215	9371
45	219	9311
46	222	9266
47	226	9220
48	230	9170
49	234	9131
50	237	9087
51	241	9053
52	245	9025
53	249	8998
54	253	8963
55	257	8921
56	260	8880
57	263	8836
58	267	8798
59	270	8755
60	274	8714
61	277	8672
62	280	8636
63	284	8603
64	287	8571
65	291	8547
66	295	8518
67	298	8487
68	302	8458
69	305	8426
70	309	8399
71	313	8389
72	317	8372
73	320	8346
74	324	8323
75	327	8298
76	331	8274
77	336	8295
78	340	8268
79	343	8238
80	346	8211
81	350	8202
82	354	8182
83	357	8158
84	361	8133
85	364	8117
86	368	8094
87	371	8073
88	375	8068
89	379	8060
90	384	8057
91	388	8050
92	392	8044
93	396	8039
94	400	8027
95	404	8021
96	408	8013
97	412	8012
98	417	8007
99	421	8001
100	425	7997
101	429	7994
102	433	7990
103	438	7990
104	442	7990
105	446	7980
106	450	7976
107	455	7973
108	459	7970
109	463	7959
110	466	7941
111	470	7934
112	474	7922
113	478	7919
114	482	7914
115	486	7907
116	490	7891
117	493	7876
118	497	7859
119	500	7839
120	503	7820
121	506	7804
122	510	7785
123	513	7768
124	516	7753
125	520	7738
126	523	7721
127	526	7702
128	529	7686
129	533	7669
130	536	7651
131	539	7633
132	542	7617
133	545	7601
134	549	7585
135	552	7568
136	555	7553
137	558	7539
138	562	7525
139	565	7509
140	568	7496
141	571	7482
142	575	7469
143	578	7455
144	581	7442
145	584	7428
146	588	7414
147	591	7402
148	594	7388
149	597	7374
150	601	7362
151	604	7347
152	607	7332
153	610	7318
154	613	7304
155	617	7294
156	620	7282
157	623	7269
158	626	7255
159	629	7243
160	633	7232
161	636	7222
162	639	7210
163	643	7198
164	646	7187
165	649	7178
166	653	7167
167	656	7157
168	659	7144
169	662	7134
170	665	7122
171	669	7110
172	672	7098
173	675	7087
174	678	7076
175	681	7067
176	685	7061
177	688	7052
178	692	7042
179	695	7032
180	698	7022
181	702	7015
182	705	7006
183	709	6998
184	712	6990
185	715	6980
186	718	6969
187	722	6960
188	725	6953
189	728	6944
190	732	6934
191	735	6923
192	738	6914
193	742	6907
194	745	6897
195	748	6888
196	751	6879
197	754	6868
198	757	6858
199	761	6850
200	764	6841
201	767	6832
202	770	6823
203	774	6814
204	777	6806
205	780	6797
206	783	6790
207	787	6781
208	790	6772
209	793	6763
210	796	6753
211	799	6744
212	802	6735
213	806	6726
214	809	6718
215	812	6709
216	815	6701
217	819	6696
218	822	6688
