iter	RMSE
0	1.997042704
1	1.991687786
2	1.984609099
3	1.974880812
4	1.971709189
5	1.963031631
6	1.952950028
7	1.943298504
8	1.937366744
9	1.930676917
10	1.926066817
11	1.916676451
12	1.912931256
13	1.904331407
14	1.893857349
15	1.887686182
16	1.882022439
17	1.872356653
18	1.86621099
19	1.86203956
20	1.856745023
21	1.852975373
22	1.85026775
23	1.841950163
24	1.83367947
25	1.830192105
26	1.822408932
27	1.819237029
28	1.815416464
29	1.806768974
30	1.798410364
31	1.793239838
32	1.789057487
33	1.785811418
34	1.779601673
35	1.777079979
36	1.770385306
37	1.766706685
38	1.762923515
39	1.754885659
40	1.749001777
41	1.74113468
42	1.734183877
43	1.733299845
44	1.731082789
45	1.724015415
46	1.719758368
47	1.714589167
48	1.710056065
49	1.706528458
50	1.697967451
51	1.691750902
52	1.688036772
53	1.685129886
54	1.67821029
55	1.671158591
56	1.663793503
57	1.660749866
58	1.655576374
59	1.653068037
60	1.645785584
61	1.64315519
62	1.635369127
63	1.632561005
64	1.629650345
65	1.627148283
66	1.625783136
67	1.617988283
68	1.615561649
69	1.612188255
70	1.608588071
71	1.604198645
72	1.600502375
73	1.59391184
74	1.588200673
75	1.582016122
76	1.579954881
77	1.578414302
78	1.57433202
79	1.571236883
80	1.568555854
81	1.560733608
82	1.558750733
83	1.556648774
84	1.550770494
85	1.546226854
86	1.542471862
87	1.537437161
88	1.534073625
89	1.52985804
90	1.528569459
91	1.523415487
92	1.519611479
93	1.516962834
94	1.514420429
95	1.512585904
96	1.50707278
97	1.505576866
98	1.501171387
99	1.498265779
100	1.496128568
101	1.493647816
102	1.49291536
103	1.49205099
104	1.48704649
105	1.484940568
106	1.483783857
107	1.481874844
108	1.477355711
109	1.476668713
110	1.472741308
111	1.471282195
112	1.468030552
113	1.466485454
114	1.463923838
115	1.458989043
116	1.458114902
117	1.457109443
118	1.455113651
119	1.454046107
120	1.451970671
121	1.447981543
122	1.445209929
123	1.441357559
124	1.439291601
125	1.438739325
126	1.438012222
127	1.436511591
128	1.429475198
129	1.427042663
130	1.426534503
131	1.425619675
132	1.420512679
133	1.419309512
134	1.417676885
135	1.4170979
136	1.41349233
137	1.407650366
138	1.403732444
139	1.399150167
140	1.397981779
141	1.397070628
142	1.396740254
143	1.39263264
144	1.386810159
145	1.384491315
146	1.381288924
147	1.379517767
148	1.377638438
149	1.373489767
150	1.369474807
151	1.365881268
152	1.362440422
153	1.359005402
154	1.355483816
155	1.354163008
156	1.353594305
157	1.348703151
158	1.346377411
159	1.342592107
160	1.339941233
161	1.337036605
162	1.335521053
163	1.331509664
164	1.326709183
165	1.322989553
