iter	Passed	Remaining
0	294	588215
1	604	603441
2	959	638614
3	1364	680736
4	1769	706222
5	2203	732278
6	2595	739062
7	2984	743042
8	3382	748213
9	3734	743117
10	4130	746942
11	4502	745953
12	5016	766780
13	5381	763348
14	5738	759452
15	6101	756530
16	6463	753996
17	6828	751871
18	7194	750086
19	7548	747321
20	7908	745296
21	8244	741214
22	8602	739431
23	8969	738512
24	9322	736496
25	9684	735240
26	10043	733884
27	10385	731457
28	10755	731013
29	11189	734770
30	11642	739512
31	12059	741639
32	12490	744524
33	12602	728733
34	13021	731084
35	13483	735613
36	13889	736871
37	14339	740359
38	14750	741686
39	15167	743203
40	15579	744409
41	15965	744278
42	16388	745853
43	16781	746008
44	17204	747461
45	17597	747520
46	17971	746787
47	18349	746225
48	18734	745929
49	19109	745258
50	19491	744873
51	19873	744507
52	20246	743764
53	20631	743489
54	21037	743945
55	21442	744369
56	21836	744364
57	22269	745659
58	22651	745180
59	22993	743452
60	23345	742067
61	23687	740417
62	24048	739398
63	24384	737641
64	24733	736284
65	25093	735309
66	25447	734189
67	25759	731867
68	26121	731012
69	26489	730349
70	26851	729524
71	27208	728596
72	27571	727803
73	27928	726903
74	28284	725966
75	28638	725001
76	29003	724331
77	29348	723181
78	29690	721971
79	30054	721304
80	30401	720248
81	30743	719097
82	31089	718053
83	31481	718076
84	31838	717292
85	32199	716631
86	32558	715905
87	32890	714619
88	33250	713962
89	33594	712944
90	33949	712198
91	34308	711523
92	34675	711036
93	35035	710394
94	35398	709834
95	35715	708357
96	36073	707716
97	36411	706674
98	36764	705952
99	37114	705182
100	37475	704621
101	37806	703502
102	38146	702560
103	38489	701686
104	38846	701095
105	39203	700477
106	39555	699804
107	39915	699254
108	40279	698802
109	40630	698097
110	40983	697464
111	41317	696494
112	41662	695720
113	42030	695340
114	42375	694585
115	42722	693864
116	43072	693205
117	43426	692613
118	43763	691761
119	44114	691133
120	44465	690503
121	44818	689918
122	45172	689344
123	45532	688856
124	45883	688249
125	46241	687746
126	46562	686699
127	46922	686246
128	47263	685502
129	47615	684924
130	47970	684401
131	48314	683719
132	48673	683258
133	49009	682481
134	49361	681923
135	49704	681245
136	50075	680954
137	50453	680759
138	50837	680636
139	51210	680373
140	51558	679771
141	51914	679272
142	52273	678818
143	52616	678163
144	52957	677490
145	53302	676869
146	53665	676481
147	54045	676293
148	54388	675654
149	54742	675155
150	55119	674936
151	55467	674362
152	55802	673645
153	56144	673010
154	56500	672538
155	56840	671882
156	57202	671491
157	57557	671019
158	57912	670544
159	58264	670047
160	58618	669561
161	58960	668946
162	59319	668527
163	59678	668105
164	60034	667656
165	60399	667303
166	60766	666973
167	61122	666530
168	61515	666481
169	61876	666081
170	62253	665857
171	62623	665553
172	62990	665222
173	63346	664778
174	63686	664156
175	64024	663521
176	64362	662900
177	64732	662603
178	65091	662187
179	65445	661723
180	65779	661069
181	66130	660575
182	66460	659882
183	66813	659424
184	67173	659023
185	67528	658584
186	67884	658153
187	68222	657546
188	68574	657086
189	68925	656607
190	69284	656208
191	69622	655607
192	69971	655117
193	70354	654950
194	70742	654817
195	71096	654375
196	71456	653992
197	71826	653692
198	72168	653146
199	72525	652728
200	72868	652190
201	73225	651778
202	73564	651204
203	73893	650556
204	74246	650110
205	74587	649562
206	74966	649348
207	75335	649043
208	75689	648608
209	76124	648870
210	76522	648807
211	76893	648517
212	77334	648811
213	77713	648578
214	78067	648142
215	78423	647718
216	78799	647463
217	79148	646988
218	79481	646378
219	79848	646046
220	80197	645571
221	80550	645128
222	80928	644888
223	81324	644789
224	81706	644571
225	82036	643954
226	82443	643929
227	82817	643651
228	83149	643048
229	83502	642608
230	83854	642157
231	84202	641682
232	84577	641405
233	84957	641177
234	85304	640689
235	85664	640308
236	86057	640169
237	86451	640030
238	86839	639852
239	87200	639470
240	87523	638815
241	87934	638797
242	88353	638834
243	88889	639713
244	89354	640070
245	89784	640169
246	90235	640417
247	90670	640545
248	91037	640185
249	91452	640167
250	91865	640133
251	92252	639908
252	92634	639654
253	93022	639438
254	93423	639312
255	93783	638897
256	94162	638618
257	94548	638383
258	94925	638090
259	95281	637656
260	95612	637048
261	95963	636582
262	96324	636178
263	96702	635890
264	97086	635642
265	97440	635195
266	97820	634919
267	98163	634397
268	98544	634126
269	98943	633969
270	99308	633594
271	99672	633215
272	100060	632980
273	100460	632824
274	100849	632600
275	101201	632142
276	101565	631758
277	101912	631272
278	102252	630737
279	102597	630240
280	102945	629765
281	103298	629312
282	103662	628934
283	104031	628584
284	104387	628153
285	104736	627685
286	105097	627287
287	105535	627347
288	105911	627037
289	106274	626650
290	106629	626220
291	106992	625834
292	107338	625348
293	107723	625087
294	108079	624661
295	108475	624466
296	108911	624497
297	109294	624224
298	109694	624048
299	110066	623709
300	110427	623312
301	110832	623155
302	111211	622859
303	111579	622496
304	111931	622047
305	112314	621764
306	112654	621251
307	113017	620863
308	113368	620410
309	113774	620255
310	114159	619985
311	114622	620135
312	115158	620676
313	116306	624498
314	117103	626409
315	117803	627785
316	118245	627785
317	118637	627508
318	119049	627343
319	119454	627137
320	119837	626812
321	120232	626552
322	120695	626646
323	121166	626774
324	121609	626758
325	121995	626442
326	122390	626174
327	122762	625788
328	123133	625399
329	123493	624950
330	123882	624653
331	124247	624230
332	124631	623903
333	124999	623502
334	125381	623162
335	125777	622895
336	126158	622556
337	126577	622400
338	126956	622048
339	127319	621619
340	127671	621134
341	128006	620569
342	128397	620275
343	128798	620028
344	129158	619588
345	129490	619007
346	129833	618488
347	130198	618067
348	130561	617640
349	130906	617130
350	131271	616716
351	131621	616230
352	131999	615873
353	132337	615332
354	132692	614873
355	133045	614402
356	133419	614030
357	133777	613580
358	134133	613129
359	134528	612852
360	134897	612457
361	135212	611816
362	135607	611542
363	135991	611213
364	136367	610851
365	136839	610918
366	137236	610644
367	137613	610288
368	137998	609960
369	138340	609445
370	138699	609005
371	139044	608504
372	139432	608194
373	139792	607760
374	140167	607391
375	140551	607064
376	140941	606758
377	141349	606533
