iter	TotalF1	MultiClass
0	0.2588850075	1.894648055
1	0.2319532001	1.854375637
2	0.2709873018	1.815188652
3	0.2737161421	1.785742285
4	0.2710901146	1.758232958
5	0.291889474	1.736012454
6	0.292617322	1.715393327
7	0.2983151031	1.69683613
8	0.298732116	1.682412815
9	0.3012865199	1.669603203
10	0.3057100538	1.655819286
11	0.3078563576	1.645022243
12	0.3089714555	1.63568235
13	0.3115486402	1.625931964
14	0.3168036303	1.618211659
15	0.3194640659	1.610039378
16	0.3212865007	1.603222717
17	0.3256621294	1.597363703
18	0.3252435024	1.593022666
19	0.329608564	1.587119192
20	0.3309798554	1.582247523
21	0.3333179224	1.578205381
22	0.3348908766	1.574361685
23	0.3379093344	1.570849949
24	0.3421808712	1.567239712
25	0.3419194673	1.564806958
26	0.3471612258	1.561293836
27	0.3470048199	1.558909301
28	0.3553908766	1.555675539
29	0.356613558	1.552874791
30	0.3614191649	1.549439548
31	0.3678633648	1.546337406
32	0.3719573428	1.544472693
33	0.3733996642	1.542076539
34	0.3768177385	1.539568862
35	0.3801906799	1.536646787
36	0.3818192181	1.534644023
37	0.3860122559	1.531115507
38	0.3873108151	1.529088179
39	0.3913210752	1.526673205
40	0.3933597808	1.524715837
41	0.3917138259	1.523467421
42	0.3945383523	1.522213924
43	0.3972634376	1.519874683
44	0.4008927102	1.51744023
45	0.4002945503	1.515384932
46	0.4039827565	1.514229044
47	0.4040108608	1.512269737
48	0.4053997733	1.511021761
49	0.4057131607	1.509634526
50	0.4067075948	1.508837949
51	0.4077313381	1.507696083
52	0.4076732445	1.507058
53	0.4100674085	1.505815315
54	0.4112640185	1.504316928
55	0.4115037604	1.502968452
56	0.4128923976	1.501574113
57	0.4137596532	1.500543059
58	0.412858584	1.498960554
59	0.4163003562	1.497234824
60	0.4182950605	1.495747523
61	0.41759003	1.494380107
62	0.4204363901	1.493056513
63	0.4236019948	1.49163255
64	0.4239847239	1.490439179
65	0.4235189063	1.489859674
66	0.4252996355	1.488000366
67	0.4266121596	1.486950853
68	0.4279001475	1.485341601
69	0.4296874699	1.484119873
70	0.4302770343	1.482595237
71	0.4341891203	1.480760104
72	0.4352324868	1.480145173
73	0.4360119214	1.478570314
74	0.4384424332	1.476887716
75	0.4374425137	1.475839526
76	0.4359086169	1.474958022
77	0.4395590113	1.47323182
78	0.4405973925	1.472226702
79	0.4427834905	1.470049191
80	0.4447171186	1.468547339
81	0.4432691344	1.467235544
82	0.4429117934	1.467099146
83	0.4429896714	1.466593296
84	0.4451085271	1.464723256
85	0.4470789442	1.464032
86	0.4485624234	1.462815121
87	0.4478742181	1.46274406
88	0.4494316612	1.461246767
89	0.4540775854	1.458269419
90	0.454164886	1.45650545
91	0.4567122284	1.455577613
92	0.4564753765	1.454736057
93	0.45929536	1.453339836
94	0.4610732995	1.451950935
95	0.4635967278	1.45058243
96	0.4688072437	1.447667955
97	0.4676872742	1.446658925
98	0.4665056272	1.445862702
99	0.4685133504	1.444606186
100	0.4680759516	1.44308289
101	0.4702104162	1.442401905
102	0.4742445777	1.439356265
103	0.4754820963	1.437904167
104	0.479152373	1.435322843
105	0.4809768995	1.433961474
106	0.4812205868	1.433195631
107	0.4824884842	1.432007561
108	0.4846567561	1.430263949
109	0.4859724085	1.42905553
110	0.4861873011	1.427970425
111	0.4859284309	1.426682484
112	0.4864307037	1.424550309
113	0.489035667	1.422918623
114	0.4915946136	1.421378736
115	0.4921572039	1.420257675
116	0.4916327235	1.418562412
117	0.4925828695	1.417719074
118	0.4953136201	1.416106103
119	0.4965063815	1.415046964
120	0.4970346998	1.413714599
121	0.4959774358	1.412746589
122	0.4970841808	1.411718989
123	0.4975643726	1.409984138
124	0.5018886103	1.408623352
125	0.5025969834	1.407221677
126	0.5029694407	1.40635234
127	0.5047951804	1.404273006
128	0.5045592113	1.403012077
129	0.5098733999	1.400713951
130	0.5113424566	1.399476404
131	0.5118503471	1.398091351
132	0.5125095628	1.397151167
133	0.5159284363	1.395127523
134	0.517812455	1.393122217
135	0.5169806431	1.39236948
136	0.5194665594	1.390410015
137	0.5190520306	1.389661809
138	0.5218300593	1.387359356
139	0.5238615971	1.384082768
140	0.5269620019	1.381885044
141	0.5279654608	1.379564066
142	0.5307933049	1.378283622
143	0.5337010018	1.376672966
144	0.5344270111	1.375783223
145	0.5344917147	1.374822709
146	0.5361494025	1.373815802
147	0.5358693555	1.372900878
148	0.5413870065	1.370679212
149	0.5421229677	1.369538729
150	0.5433683113	1.367666093
151	0.5427489517	1.366497319
152	0.5431383638	1.364585415
153	0.545981051	1.362339441
154	0.5470750441	1.361511717
155	0.5501018919	1.359595226
156	0.5513990766	1.35811696
157	0.5524403492	1.355999747
158	0.5542041077	1.35428137
159	0.554939989	1.353304839
160	0.5558844649	1.35190085
161	0.5566303171	1.350604493
162	0.5575173743	1.349098955
163	0.559264906	1.347581156
164	0.5594572017	1.346947096
165	0.5607734986	1.345915778
166	0.5629390534	1.343254156
167	0.5658534317	1.340863839
168	0.5665210583	1.33932078
169	0.5665633839	1.338374567
170	0.5707466537	1.336420647
171	0.5703981732	1.335258961
172	0.5724802277	1.333165412
173	0.573211739	1.331762412
174	0.573372988	1.33086366
175	0.5738515433	1.330076313
176	0.5750609494	1.328278312
177	0.5744262154	1.327393831
178	0.5758380331	1.326280115
179	0.5753400955	1.325223037
180	0.5762451215	1.324440804
181	0.5767859072	1.323657327
182	0.577502805	1.322809088
183	0.578224939	1.322008882
184	0.5807146155	1.319724187
185	0.5831083641	1.318315496
186	0.5828225181	1.317679577
187	0.5819987541	1.316591146
188	0.5827200355	1.314610373
189	0.5836278796	1.313701395
190	0.5862916157	1.31152709
191	0.5869022476	1.30909208
192	0.5879497894	1.308091052
193	0.591496797	1.305654549
194	0.5940056157	1.30397381
195	0.595267043	1.30202766
196	0.5975939546	1.29970739
197	0.5983530417	1.298900647
198	0.5997550711	1.297332312
199	0.5998955594	1.295542061
200	0.6001549554	1.294733724
201	0.6002890171	1.293823004
202	0.6034269066	1.292248661
203	0.6041667513	1.290878087
204	0.6051311066	1.289384778
205	0.6073145109	1.287366926
206	0.6105224317	1.285815574
207	0.6101584514	1.284907516
208	0.6108450168	1.283972984
209	0.6113821465	1.282838115
210	0.612826254	1.28122244
211	0.6133360991	1.279836059
212	0.6155121117	1.277637528
213	0.6179546179	1.275488201
214	0.6180294641	1.274270435
215	0.6184360578	1.273622128
216	0.6193253412	1.272925932
217	0.6205934041	1.27230788
218	0.62230814	1.270714564
219	0.6221992052	1.27007658
220	0.6231994698	1.269310577
221	0.6235486631	1.267987791
222	0.6243433161	1.266032033
223	0.6253150893	1.2646352
224	0.6260347557	1.263738845
225	0.6264670948	1.263020534
226	0.6294459379	1.26158639
227	0.6295845151	1.260893631
228	0.6298699572	1.259552928
229	0.6304288781	1.258319448
230	0.6311214643	1.256928152
231	0.6330109348	1.255066413
232	0.6332470842	1.254292552
233	0.6331582199	1.252386969
234	0.6334112296	1.250314875
235	0.6354970537	1.247567214
236	0.6348900538	1.246711518
237	0.6365958259	1.245922059
238	0.6373991784	1.244035386
239	0.6383192868	1.241906112
240	0.6426823944	1.23906622
241	0.6430385913	1.237741325
242	0.6429503074	1.236251527
243	0.6442102171	1.23474685
244	0.6463397138	1.233570948
245	0.6468164737	1.231950305
246	0.6478975082	1.230357075
247	0.6478173096	1.228464863
248	0.6487175229	1.226155403
249	0.6505995371	1.224102334
250	0.6516789918	1.223566505
251	0.6517794569	1.223011554
252	0.651843451	1.222149295
253	0.6527282957	1.220348486
254	0.6532727546	1.218749356
255	0.6549544376	1.217840055
256	0.654160777	1.216884961
257	0.6575572638	1.215484971
258	0.6592179628	1.214653278
259	0.6576954193	1.213786077
260	0.6571025459	1.212940575
261	0.658161125	1.211202898
262	0.6580174772	1.209024999
263	0.6585650483	1.207548643
264	0.6590720475	1.206813813
265	0.6574285288	1.205651383
266	0.6622275926	1.20385993
267	0.6625060051	1.20231816
268	0.6635508692	1.201361975
269	0.6642219888	1.200143928
270	0.6656430583	1.19860335
271	0.6653659973	1.197437064
272	0.666692604	1.196017103
273	0.6674647119	1.194390519
274	0.6680112956	1.193635562
275	0.6702387121	1.191502632
276	0.6729224948	1.19013098
277	0.6731772706	1.188171148
278	0.6729202828	1.18691831
279	0.6752444012	1.185637668
280	0.6758804216	1.183522825
281	0.6757409374	1.18249842
282	0.6759554548	1.181376735
283	0.6767624937	1.180041418
284	0.6775239451	1.17945988
285	0.6779251113	1.178657417
286	0.678395981	1.177207621
287	0.6795288861	1.175993511
288	0.681239423	1.17482341
289	0.6818478378	1.173963196
290	0.6825722326	1.172758437
291	0.6834337434	1.170852859
292	0.6837435215	1.169153755
293	0.6845273044	1.167798838
294	0.6855912122	1.166121166
295	0.6870071949	1.164819887
296	0.6867886629	1.162662585
297	0.6876082151	1.161312656
298	0.6874335479	1.160674341
299	0.6878262486	1.159810904
300	0.6881885914	1.158703205
301	0.6884669876	1.158144626
302	0.6884961382	1.157252274
303	0.6891597615	1.15497791
304	0.6905595637	1.153402542
305	0.691765705	1.15193359
306	0.6918248093	1.151233613
307	0.693542293	1.150025906
308	0.6938906668	1.149359481
309	0.6935964457	1.148246961
310	0.6935352756	1.147890635
311	0.6934359529	1.147343756
312	0.6948854676	1.145539936
313	0.697736267	1.142940284
314	0.6977620615	1.141562509
315	0.6996332165	1.139481207
316	0.6998774983	1.138734802
317	0.7007754496	1.137175899
318	0.7014699379	1.136322437
