iter	Passed	Remaining
0	57	57192
1	103	51790
2	137	45715
3	170	42537
4	205	40909
5	241	40070
6	278	39503
7	314	39011
8	350	38611
9	385	38208
10	422	37994
11	459	37860
12	496	37707
13	533	37607
14	575	37810
15	613	37743
16	650	37643
17	688	37575
18	713	36831
19	753	36916
20	794	37049
21	839	37303
22	881	37427
23	921	37485
24	961	37506
25	971	36389
26	1011	36437
27	1036	35966
28	1076	36048
29	1116	36093
30	1157	36185
31	1201	36331
32	1239	36334
33	1279	36348
34	1319	36368
35	1358	36384
36	1397	36366
37	1437	36399
38	1479	36465
39	1520	36493
40	1560	36500
41	1600	36516
42	1641	36527
43	1681	36531
44	1719	36488
45	1757	36454
46	1796	36432
47	1835	36399
48	1873	36355
49	1911	36322
50	1950	36302
51	1988	36250
52	2000	35737
53	2039	35721
54	2078	35709
55	2116	35685
56	2154	35649
57	2194	35637
58	2235	35653
59	2275	35648
60	2313	35612
61	2351	35577
62	2392	35587
63	2433	35582
64	2473	35577
65	2512	35555
66	2552	35545
67	2592	35525
68	2630	35496
69	2669	35465
70	2707	35428
71	2746	35404
72	2771	35191
73	2810	35172
74	2849	35149
75	2887	35111
76	2924	35060
77	2964	35036
78	3003	35017
79	3042	34990
80	3079	34944
81	3119	34928
82	3130	34582
83	3171	34579
84	3211	34571
85	3258	34634
86	3302	34660
87	3311	34314
88	3355	34342
89	3398	34366
90	3443	34396
91	3486	34405
92	3528	34413
93	3573	34438
94	3618	34466
95	3666	34526
96	3709	34535
97	3753	34547
98	3795	34544
99	3838	34546
100	3882	34558
101	3928	34582
102	3971	34589
103	4018	34616
104	4063	34636
105	4108	34647
106	4153	34666
107	4198	34674
108	4246	34711
109	4291	34723
110	4338	34748
111	4383	34758
112	4429	34770
113	4475	34780
114	4519	34781
115	4559	34749
116	4603	34745
117	4646	34732
118	4688	34713
119	4732	34704
120	4777	34707
121	4819	34688
122	4865	34694
123	4909	34684
124	4953	34673
125	4993	34639
126	5035	34611
127	5078	34594
128	5118	34562
129	5159	34526
130	5199	34493
131	5240	34461
132	5279	34418
133	5320	34386
134	5360	34346
135	5399	34302
136	5438	34260
137	5478	34223
138	5519	34187
139	5560	34158
140	5599	34111
141	5638	34066
142	5676	34019
143	5715	33974
144	5754	33929
145	5793	33888
146	5832	33845
147	5870	33795
148	5908	33746
149	5946	33697
150	5987	33664
151	6025	33618
152	6064	33571
153	6102	33526
154	6141	33482
155	6181	33445
156	6220	33401
157	6259	33355
158	6297	33310
159	6337	33272
160	6376	33230
161	6415	33185
162	6456	33151
163	6496	33114
164	6535	33074
165	6575	33036
166	6616	33002
167	6656	32966
168	6696	32926
169	6734	32879
170	6772	32833
171	6812	32793
172	6851	32753
173	6890	32709
174	6928	32664
175	6968	32623
176	7006	32576
177	7047	32542
178	7085	32498
179	7123	32449
180	7161	32405
181	7201	32367
182	7238	32317
183	7277	32274
184	7316	32234
185	7356	32192
186	7394	32146
187	7432	32102
188	7471	32058
189	7508	32010
190	7549	31975
191	7590	31941
192	7629	31903
193	7668	31861
194	7706	31815
195	7744	31767
196	7785	31734
197	7824	31692
198	7864	31656
199	7905	31620
200	7945	31582
201	7983	31540
202	8023	31501
203	8062	31461
204	8102	31419
205	8140	31378
206	8179	31334
207	8217	31290
208	8256	31246
209	8294	31202
210	8333	31161
211	8373	31123
212	8413	31085
213	8453	31048
214	8492	31007
215	8535	30979
216	8575	30941
217	8614	30900
218	8654	30863
219	8692	30819
220	8732	30782
221	8770	30736
222	8809	30695
223	8848	30653
224	8887	30611
225	8927	30573
226	8966	30534
227	9004	30489
228	9043	30447
229	9085	30416
230	9126	30382
231	9173	30368
232	9216	30339
233	9265	30330
234	9312	30316
235	9358	30296
236	9403	30273
237	9447	30247
238	9496	30239
239	9544	30222
240	9590	30204
241	9633	30173
242	9680	30156
243	9724	30129
244	9770	30109
245	9815	30084
246	9859	30056
247	9906	30037
248	9952	30015
249	9997	29991
250	10041	29964
251	10085	29937
252	10129	29907
253	10174	29881
254	10220	29860
255	10263	29828
256	10304	29791
257	10345	29753
258	10386	29715
259	10427	29678
260	10469	29642
261	10512	29611
262	10553	29572
263	10592	29529
264	10632	29489
265	10674	29455
266	10716	29420
267	10755	29377
268	10796	29338
269	10836	29297
270	10878	29263
271	10919	29224
272	10958	29181
273	10997	29140
274	11038	29100
275	11078	29060
276	11118	29019
277	11158	28979
278	11197	28936
279	11238	28898
280	11277	28856
281	11315	28811
282	11353	28765
283	11392	28721
284	11433	28682
285	11472	28642
286	11512	28601
287	11552	28560
288	11592	28520
289	11632	28479
290	11673	28441
291	11712	28399
292	11751	28355
293	11789	28310
294	11828	28268
295	11871	28234
296	11912	28195
297	11951	28154
298	11991	28113
299	12031	28072
300	12072	28035
301	12113	27996
302	12153	27956
303	12191	27911
304	12229	27867
305	12268	27825
306	12308	27783
307	12346	27738
308	12385	27696
309	12423	27652
310	12462	27609
311	12502	27568
312	12544	27532
313	12584	27494
314	12624	27453
315	12662	27409
316	12700	27365
317	12739	27322
318	12779	27281
319	12817	27236
320	12856	27193
321	12894	27150
322	12932	27107
323	12972	27065
324	13011	27023
325	13049	26980
326	13089	26939
327	13129	26898
328	13169	26859
329	13209	26820
330	13233	26747
331	13271	26703
332	13311	26662
333	13350	26621
334	13391	26583
335	13430	26540
336	13469	26499
337	13507	26456
338	13548	26417
339	13587	26374
340	13625	26331
341	13663	26288
342	13702	26246
343	13743	26208
344	13784	26169
345	13821	26125
346	13860	26083
347	13899	26041
348	13937	25998
349	13977	25958
350	14017	25918
351	14057	25879
352	14095	25835
353	14136	25796
354	14180	25764
355	14218	25721
356	14259	25682
357	14299	25642
358	14338	25600
359	14377	25560
360	14416	25519
361	14456	25478
362	14495	25437
363	14534	25395
364	14576	25358
365	14615	25318
366	14658	25282
367	14698	25243
368	14737	25201
369	14776	25160
370	14816	25119
371	14855	25078
372	14898	25044
373	14942	25009
374	14988	24980
375	15030	24944
376	15075	24911
377	15116	24873
378	15156	24834
379	15196	24793
380	15235	24752
381	15274	24711
382	15313	24670
383	15353	24628
384	15391	24586
385	15429	24543
386	15468	24501
387	15507	24459
388	15547	24420
389	15587	24379
390	15624	24335
391	15662	24293
392	15704	24255
393	15744	24215
394	15781	24172
395	15820	24129
396	15858	24087
397	15896	24044
398	15938	24008
399	15976	23964
400	16014	23921
401	16051	23878
402	16089	23834
403	16128	23793
404	16167	23751
405	16206	23711
406	16245	23669
407	16283	23627
408	16323	23587
409	16364	23548
410	16402	23506
411	16442	23466
412	16482	23427
413	16522	23386
414	16562	23347
415	16603	23308
416	16643	23268
417	16680	23225
418	16719	23183
419	16757	23141
420	16797	23101
421	16836	23060
422	16874	23018
423	16914	22977
424	16953	22937
425	16993	22896
426	17031	22854
427	17069	22812
428	17110	22774
429	17150	22734
430	17188	22692
431	17226	22649
432	17268	22613
433	17309	22573
434	17350	22535
435	17390	22495
436	17430	22455
437	17469	22415
438	17508	22374
439	17546	22332
440	17585	22291
441	17624	22250
442	17665	22211
443	17704	22170
444	17743	22129
445	17781	22086
446	17820	22046
447	17859	22005
448	17899	21965
449	17938	21925
450	17977	21884
451	18015	21842
452	18055	21802
453	18095	21762
454	18135	21722
455	18173	21680
456	18212	21639
457	18250	21598
458	18292	21560
459	18332	21520
460	18372	21480
461	18410	21439
462	18449	21398
463	18489	21358
464	18529	21318
465	18568	21277
466	18609	21239
467	18651	21202
468	18693	21164
469	18736	21127
470	18776	21088
471	18816	21049
472	18856	21009
473	18896	20970
474	18937	20930
475	18977	20890
476	19020	20855
477	19064	20819
478	19105	20780
479	19146	20741
480	19186	20701
481	19225	20661
482	19265	20621
483	19306	20582
484	19345	20542
485	19386	20503
486	19426	20463
487	19465	20423
488	19505	20382
489	19545	20343
490	19586	20304
491	19624	20262
492	19662	20220
