iter	MultiClass
0	1.872000267
1	1.811936625
2	1.763627208
3	1.722656896
4	1.68863267
5	1.659450634
6	1.632230784
7	1.610033657
8	1.569795222
9	1.542733688
10	1.523533729
11	1.502879296
12	1.48812784
13	1.470440622
14	1.450228151
15	1.433177354
16	1.423036827
17	1.411791082
18	1.402246976
19	1.392419635
20	1.370832695
21	1.348559391
22	1.34006943
23	1.332655142
24	1.311219206
25	1.30502497
26	1.29900778
27	1.280760378
28	1.263269612
29	1.257559728
30	1.233151092
31	1.218523966
32	1.212719229
33	1.192878065
34	1.188081736
35	1.167678832
36	1.162264303
37	1.156241425
38	1.151709314
39	1.142144819
40	1.127728128
41	1.123881844
42	1.111918448
43	1.107167091
44	1.084544245
45	1.0646728
46	1.056751184
47	1.051310814
48	1.044312937
49	1.041595293
50	1.02735413
51	1.009986637
52	1.001646051
53	0.9856797126
54	0.9826399907
55	0.9799328229
56	0.9643959587
57	0.9500462413
58	0.9442276951
59	0.9408276488
60	0.9363086965
61	0.9240843593
62	0.9211560142
63	0.9082502641
64	0.9014076928
65	0.8939946075
66	0.8879750204
67	0.884888089
68	0.8770910151
69	0.8671305527
70	0.8633806995
71	0.8582942274
72	0.8522122817
73	0.8396489525
74	0.835221509
75	0.8322871544
76	0.8295808274
77	0.8271714324
78	0.8194323767
79	0.8140004185
80	0.8095136657
81	0.8017006259
82	0.7919789314
83	0.7851028302
84	0.7773120996
85	0.7751518454
86	0.7705556748
87	0.7691512681
88	0.7659771631
89	0.7627795622
90	0.7603465284
91	0.7569822205
92	0.7539561764
93	0.7471598707
94	0.7416315045
95	0.7343313224
96	0.7317023793
97	0.7281947978
98	0.7271509374
99	0.7245564166
100	0.7216812238
101	0.717336862
102	0.7119275911
103	0.7100287753
104	0.7073100857
105	0.7048892827
106	0.7030536203
107	0.6915037762
108	0.688779098
109	0.6829176814
110	0.6806968688
111	0.672549983
112	0.6627783777
113	0.660334022
114	0.6578202632
115	0.6549951497
116	0.6476199794
117	0.6387165494
118	0.6361301805
119	0.6342941992
120	0.6281206804
121	0.6226704504
122	0.6207414232
123	0.6185385016
124	0.6089485871
125	0.6069722746
126	0.5987360733
127	0.5971613752
128	0.5954881098
129	0.5937367182
130	0.5922723533
131	0.5869734803
132	0.581252913
133	0.5795029213
134	0.5777405555
135	0.5680100607
136	0.5662328665
137	0.5636885371
138	0.5581189081
139	0.5563335894
140	0.5549601319
141	0.5534242913
142	0.5519527839
143	0.5462755525
144	0.5392642194
145	0.5336058743
146	0.5316576583
147	0.5279761993
148	0.523839348
149	0.5222138156
150	0.5203734573
151	0.5152940125
152	0.5074328162
153	0.5056865511
154	0.4980118225
155	0.4964158253
156	0.4952476845
157	0.490433184
158	0.489211738
159	0.4850870061
160	0.4836643974
161	0.4822683927
162	0.4810134529
163	0.4781576896
164	0.4747542326
165	0.473384402
166	0.4719003458
167	0.4674832136
168	0.4660542243
169	0.4647524967
170	0.4644473188
171	0.4573680024
172	0.451408004
173	0.4504754599
174	0.4478349415
175	0.4468292867
176	0.4428245352
177	0.4363971215
178	0.4308318506
179	0.4296114746
180	0.4286737063
181	0.4270268822
182	0.4257066696
183	0.4244890296
184	0.4204240352
185	0.4193256582
186	0.4181018436
187	0.4140334805
188	0.409561008
189	0.4081742162
190	0.4072251415
191	0.4059755813
192	0.4015209864
193	0.3997596575
194	0.3959502749
195	0.3919277624
196	0.3883152548
197	0.3872370828
198	0.3841017426
199	0.380345778
200	0.3790978889
201	0.3754684823
202	0.3745423202
