iter	Passed	Remaining
0	28	28018
1	35	17289
2	64	21095
3	91	22588
4	118	23389
5	145	23855
6	173	24317
7	201	24723
8	233	25440
9	263	25793
10	294	26170
11	327	26663
12	360	27097
13	368	25633
14	403	26171
15	438	26672
16	474	27157
17	513	27710
18	551	28146
19	589	28565
20	628	28954
21	667	29343
22	707	29728
23	748	30089
24	789	30456
25	831	30807
26	874	31165
27	917	31477
28	959	31763
29	1002	32050
30	1044	32268
31	1086	32488
32	1129	32724
33	1171	32916
34	1216	33164
35	1262	33408
36	1309	33696
37	1352	33851
38	1396	34028
39	1440	34180
40	1454	33639
41	1499	33799
42	1544	33978
43	1589	34133
44	1634	34295
45	1643	33691
46	1694	33955
47	1740	34129
48	1788	34300
49	1834	34460
50	1881	34611
51	1928	34748
52	1975	34893
53	2022	35026
54	2069	35139
55	2114	35232
56	2159	35310
57	2204	35386
58	2250	35481
59	2297	35566
60	2344	35660
61	2359	35277
62	2405	35362
63	2417	34942
64	2465	35048
65	2512	35130
66	2558	35201
67	2602	35245
68	2651	35354
69	2699	35435
70	2718	35146
71	2764	35210
72	2810	35271
73	2856	35318
74	2901	35357
75	2946	35399
76	2992	35445
77	3038	35490
78	3086	35548
79	3133	35605
80	3181	35664
81	3229	35721
82	3274	35744
83	3319	35767
84	3365	35797
85	3411	35820
86	3454	35820
87	3497	35810
88	3541	35816
89	3586	35820
90	3629	35820
91	3674	35830
92	3719	35832
93	3764	35839
94	3807	35827
95	3851	35825
96	3896	35829
97	3907	35525
98	3952	35530
99	3999	35551
100	4044	35557
101	4089	35566
102	4135	35571
103	4179	35565
104	4223	35558
105	4234	35276
106	4280	35281
107	4325	35284
108	4369	35272
109	4418	35305
110	4463	35307
111	4509	35307
112	4554	35305
113	4599	35304
114	4644	35295
115	4688	35286
116	4732	35273
117	4776	35258
118	4820	35241
119	4865	35237
120	4910	35225
121	4957	35228
122	5003	35226
123	5048	35214
124	5092	35200
125	5137	35189
126	5181	35169
127	5226	35156
128	5271	35141
129	5319	35151
130	5362	35122
131	5407	35108
132	5453	35099
133	5498	35085
134	5543	35064
135	5587	35044
136	5629	35012
137	5674	34992
138	5718	34966
139	5762	34947
140	5806	34922
141	5850	34898
142	5894	34870
143	5939	34854
144	5983	34826
145	6026	34798
146	6070	34770
147	6114	34745
148	6160	34727
149	6204	34706
150	6249	34684
151	6295	34668
152	6340	34642
153	6383	34611
154	6426	34577
155	6470	34552
156	6514	34525
157	6561	34508
158	6605	34478
159	6649	34450
160	6694	34427
161	6738	34401
162	6784	34378
163	6829	34357
164	6873	34326
165	6916	34291
166	6959	34254
167	7003	34225
168	7049	34203
169	7094	34178
170	7138	34148
171	7181	34113
172	7225	34080
173	7268	34045
174	7312	34015
175	7356	33980
176	7402	33958
177	7446	33925
178	7489	33891
179	7534	33862
180	7578	33829
181	7621	33794
182	7667	33770
183	7712	33740
184	7757	33712
185	7802	33685
186	7848	33659
187	7894	33636
188	7941	33612
189	7985	33582
190	8032	33560
191	8077	33528
192	8123	33504
193	8170	33480
194	8213	33442
195	8257	33409
196	8301	33374
197	8344	33336
198	8388	33299
199	8433	33269
200	8479	33241
201	8523	33206
202	8566	33167
203	8609	33129
204	8653	33095
205	8697	33059
206	8742	33026
207	8786	32991
208	8830	32955
209	8874	32921
210	8917	32881
211	8961	32843
212	9004	32805
213	9047	32766
214	9093	32734
215	9137	32699
216	9182	32666
217	9225	32626
218	9268	32586
219	9312	32549
220	9354	32509
221	9400	32477
222	9443	32439
223	9489	32408
224	9534	32373
225	9577	32335
226	9621	32297
227	9665	32259
228	9708	32221
229	9754	32190
230	9798	32153
231	9841	32113
232	9886	32076
233	9929	32036
234	9973	31999
235	10017	31963
236	10061	31926
237	10105	31888
238	10150	31854
239	10196	31820
240	10240	31783
241	10283	31742
242	10327	31705
243	10370	31664
244	10415	31627
245	10459	31591
246	10503	31552
