iter	TotalF1	MultiClass
0	0.2937415458	1.924008745
1	0.3089327628	1.904123286
2	0.3181879465	1.885602042
3	0.3302296815	1.86800075
4	0.3458593444	1.850712327
5	0.3568885979	1.834385805
6	0.359380511	1.820035147
7	0.3615769371	1.806489028
8	0.3593005771	1.79372693
9	0.3623013051	1.781368436
10	0.3707821656	1.769152575
11	0.3729226868	1.758026809
12	0.3921897014	1.745731742
13	0.4006238322	1.734525229
14	0.4109199077	1.723371389
15	0.4118057718	1.713578877
16	0.4102688239	1.704885342
17	0.4126693466	1.696387791
18	0.4172833779	1.687537715
19	0.4191648259	1.67947346
20	0.4262814197	1.670489135
21	0.4346204322	1.662109044
22	0.4470783877	1.65286811
23	0.4517704431	1.645219262
24	0.4525899088	1.63891059
25	0.453845165	1.632695401
26	0.4560870565	1.626432851
27	0.4594101305	1.620100101
28	0.4615796135	1.614179759
29	0.4617645486	1.608939965
30	0.464172037	1.602585242
31	0.4700495905	1.596306352
32	0.479010468	1.58907848
33	0.4793880338	1.583446309
34	0.4806109182	1.578690876
35	0.4848490981	1.572668155
36	0.4875358163	1.567516043
37	0.4883365159	1.562816806
38	0.4908167671	1.557518899
39	0.4919520839	1.553594144
40	0.4919937968	1.549651197
41	0.4920966409	1.545828434
42	0.4968994964	1.539529993
43	0.5060658968	1.533896333
44	0.5069383026	1.529996494
45	0.5091655754	1.525737874
46	0.5156207468	1.521083112
47	0.5163054269	1.516625113
48	0.5185162785	1.512547009
49	0.5259671708	1.507081298
50	0.5262098255	1.503256433
51	0.5267239479	1.499893716
52	0.5300994932	1.495990313
53	0.5296629749	1.492744824
54	0.531029197	1.489896717
55	0.5305587613	1.487139549
56	0.5374703658	1.482634519
57	0.5394851543	1.479553794
58	0.542620286	1.47605649
59	0.5430145842	1.473389352
60	0.5439999449	1.470759909
61	0.5428190781	1.467849613
62	0.5481389527	1.463711986
63	0.5475197729	1.46084812
64	0.5484298585	1.458357732
65	0.5486703315	1.455927634
66	0.5563923861	1.451428981
67	0.5571675619	1.448624844
68	0.5578607627	1.446289314
69	0.5592965475	1.442860707
70	0.5594425973	1.441053665
71	0.5599156582	1.438869237
72	0.5634965599	1.435164181
73	0.564426007	1.433147774
74	0.564946584	1.430792144
75	0.5665062265	1.428581359
76	0.569376462	1.4243654
77	0.5725714728	1.42043923
78	0.5736939066	1.418587296
79	0.5730141866	1.416604919
80	0.5796734549	1.412662822
81	0.5803679163	1.410732773
82	0.5816628169	1.407754647
83	0.5822395002	1.406039952
84	0.5824004957	1.404104407
85	0.5830835349	1.40144552
86	0.5898531655	1.396275314
87	0.5944290262	1.392477603
88	0.5962155238	1.389059442
89	0.5973055929	1.387223568
90	0.598218859	1.385203843
91	0.6005702702	1.382804757
92	0.6016219007	1.380084225
93	0.6037506025	1.377026265
94	0.6042484652	1.375410726
95	0.604905462	1.374206476
96	0.6053564566	1.372554619
97	0.6068700339	1.371228966
98	0.60726735	1.368927211
99	0.6092508019	1.367247002
100	0.6132567388	1.363293283
101	0.613617342	1.361564273
102	0.6184067978	1.358215627
103	0.6225546391	1.354463089
104	0.6228382296	1.352997019
105	0.6263086985	1.349873936
106	0.6296119511	1.346667047
107	0.6300908449	1.345439495
108	0.6306438513	1.343417041
109	0.6338989313	1.339459228
110	0.6344919492	1.338027076
111	0.6368570442	1.335749886
112	0.6379223345	1.334042442
113	0.6382981325	1.332678015
114	0.6407941226	1.329111081
115	0.6432595708	1.326590091
116	0.6446669593	1.323057627
117	0.6474008697	1.320911672
118	0.6474494644	1.319517368
119	0.6492222494	1.317519233
120	0.6498364013	1.315415623
121	0.6500781031	1.314423253
122	0.6535616743	1.311410904
123	0.6556372334	1.309230299
124	0.6567892336	1.307418102
125	0.6566493485	1.305885567
126	0.6616798507	1.301804315
127	0.6627488603	1.299638628
128	0.6630732646	1.297550438
129	0.6628723531	1.296148284
130	0.6651004248	1.293934049
131	0.6693543173	1.289469602
132	0.6720099257	1.285919928
133	0.6732159258	1.283061353
134	0.6739497645	1.281643656
135	0.673986896	1.280283606
136	0.676420209	1.277263444
137	0.6785250279	1.275397516
138	0.6812707694	1.270789708
139	0.684594328	1.26783326
140	0.6839192185	1.266578093
141	0.6839607323	1.265679738
142	0.6848879528	1.264382494
143	0.6844817733	1.262942778
144	0.6853488539	1.261865187
145	0.6856232993	1.259799326
146	0.6884324095	1.257567532
147	0.6890278751	1.256099502
148	0.6895726137	1.254913581
149	0.691489941	1.252731002
150	0.6932869045	1.250465716
151	0.6951836636	1.248571659
152	0.6954673521	1.247412068
153	0.6963331248	1.246291385
154	0.6987579775	1.242971157
155	0.6998582163	1.241425738
156	0.6995242861	1.240876871
157	0.7007521242	1.239040669
158	0.70221281	1.235647697
159	0.7030085652	1.234827598
160	0.703224135	1.233216846
161	0.7031405688	1.232735469
162	0.7066572409	1.228629702
163	0.7087286462	1.225993018
164	0.7115280115	1.222637015
165	0.711925995	1.221947735
166	0.7120965096	1.221044976
167	0.7130023622	1.218394355
168	0.7138930646	1.216300895
169	0.7147122124	1.214116805
170	0.7148161848	1.213004733
171	0.7145890707	1.211640877
172	0.7155269532	1.209279742
173	0.7165823115	1.207403472
174	0.7170102601	1.206195683
175	0.7180878061	1.203928225
176	0.7180880151	1.202969287
177	0.7179961536	1.202092259
178	0.7188822726	1.201117628
179	0.7217179053	1.198013108
180	0.7236993538	1.194727614
181	0.7244324793	1.193588158
182	0.725835108	1.191309773
183	0.7264898475	1.190174959
184	0.7279516582	1.187015781
185	0.7279713505	1.18605303
186	0.7278336528	1.185367591
187	0.7276927233	1.184586896
188	0.7281542314	1.183618295
189	0.7279290658	1.182436923
190	0.7302593645	1.17840146
191	0.7308856253	1.177169737
192	0.7323015541	1.174767978
193	0.7329821999	1.173355294
194	0.7342207763	1.171797353
195	0.7347729896	1.171044994
196	0.7359151269	1.168879282
197	0.7387076023	1.165596452
198	0.7400221974	1.163270126
199	0.7413574709	1.160579531
200	0.7435496282	1.155766861
201	0.7450170604	1.153160332
202	0.7451658342	1.151067412
203	0.7460143846	1.149745798
204	0.7473596949	1.148473228
205	0.7480020152	1.147232422
206	0.7487081979	1.146322256
207	0.7491457735	1.14460431
208	0.7503259722	1.141972584
209	0.7514200947	1.139085465
210	0.751745309	1.138186143
211	0.7532665106	1.136435636
212	0.7550720165	1.133649115
213	0.757016282	1.131707568
214	0.7586653354	1.129381682
215	0.7586225156	1.127118587
216	0.7597659328	1.125504661
217	0.7603103224	1.124633547
218	0.76112336	1.122528155
219	0.762164908	1.12021721
220	0.7622880062	1.119532918
221	0.7628036599	1.118020979
222	0.7628750267	1.117116285
223	0.7648642699	1.114470968
224	0.7668950762	1.111496664
225	0.7670828005	1.110812184
226	0.7688257764	1.108298966
227	0.7716778566	1.104847019
228	0.7725558451	1.103656887
229	0.7730583154	1.103070476
230	0.7733689559	1.102357708
231	0.7740131349	1.099775829
232	0.77569359	1.09745215
233	0.7758848146	1.095224411
234	0.7763110717	1.093321722
235	0.7771570256	1.091353313
236	0.7781984625	1.088212415
237	0.7793408569	1.086492186
238	0.7805037944	1.085046597
239	0.7810553444	1.083876541
240	0.7810813267	1.082046389
241	0.7807511591	1.081507932
