iter	Accuracy	MultiClass
0	0.3935238095	1.920832335
1	0.4411428571	1.898573326
2	0.4747619048	1.87670082
3	0.4828571429	1.858473629
4	0.4844761905	1.842401658
5	0.4898095238	1.826209527
6	0.4993333333	1.810326353
7	0.5012380952	1.795416375
8	0.5039047619	1.781470698
9	0.5000952381	1.770250622
10	0.5094285714	1.755961501
11	0.5116190476	1.744733721
12	0.515047619	1.731856971
13	0.5327619048	1.717919203
14	0.5378095238	1.705622066
15	0.538	1.695960976
16	0.5398095238	1.68546358
17	0.5458095238	1.673792831
18	0.548952381	1.66498235
19	0.5508571429	1.655740104
20	0.5498095238	1.647209542
21	0.5615238095	1.636496972
22	0.5619047619	1.628887353
23	0.567047619	1.618873064
24	0.5846666667	1.606314842
25	0.594	1.595252835
26	0.5994285714	1.586612349
27	0.6035238095	1.57885931
28	0.6094285714	1.570190399
29	0.6106666667	1.562364935
30	0.6153333333	1.553057712
31	0.6143809524	1.546835445
32	0.6183809524	1.54087776
33	0.6184761905	1.535357323
34	0.6178095238	1.530114173
35	0.6192380952	1.524894309
36	0.6241904762	1.517838322
37	0.6257142857	1.51303671
38	0.624	1.507329954
39	0.626	1.501542404
40	0.6267619048	1.497004577
41	0.6327619048	1.489351246
42	0.6343809524	1.4829018
43	0.6341904762	1.477847364
44	0.6416190476	1.469488904
45	0.6415238095	1.463804191
46	0.648	1.457279555
47	0.6466666667	1.453089675
48	0.6500952381	1.44833253
49	0.6544761905	1.441094869
50	0.656952381	1.436356415
